chlorides,density,pH,sulphates,alcohol,quality
0.09,0.99975,3.24,0.62,9.7,5
0.079,0.99735,3.29,0.63,9.3,5
0.09,0.999,3.28,0.7,9.5,6
0.071,1.0015,3.16,0.69,9.2,6
0.071,1.0015,3.16,0.69,9.2,6
0.121,0.9978,3.05,0.74,11.5,7
0.107,0.998,3.28,0.83,11.5,5
0.082,1.0002,3.16,0.67,9.7,6
0.061,0.9981,3.18,0.62,9.5,5
0.122,0.998,3.23,0.66,12.5,6
0.122,0.998,3.23,0.66,12.5,6
0.066,0.9973,3.22,0.54,9.4,6
0.105,0.9958,3.13,0.52,11,5
0.078,0.9963,3.34,0.74,11.7,7
0.128,0.9992,3.17,0.84,12.2,7
0.052,0.9948,3.35,0.7,12.5,6
0.08,0.9974,3.31,0.64,10.3,5
0.103,1.0008,3.16,1,11.5,6
0.082,0.9997,3.11,1.36,9.8,7
0.066,1,3.12,1.18,9.2,6
0.065,0.9972,3.21,0.87,11.3,6
0.118,0.9982,3.3,0.75,9.8,6
0.118,0.9982,3.3,0.75,9.8,6
0.082,1.0006,3.12,0.78,10.7,6
0.067,0.9979,3.6,0.81,9.9,5
0.072,0.9955,3.58,0.89,12.3,7
0.093,0.9986,3.02,0.93,12,6
0.089,0.9979,3.11,0.92,10,6
0.093,0.9994,3.36,0.86,9.4,6
0.107,1.0004,3.28,0.98,9.9,6
0.096,0.9994,3.35,0.83,9.4,6
0.09,0.9974,3.27,0.73,9.3,5
0.12,1.0018,3.18,0.77,13,5
0.066,0.9912,3.25,0.59,11.9,6
0.078,0.9955,3.55,0.61,12.8,6
0.08,1.0001,3.26,0.88,11,5
0.116,0.997,3.24,0.75,11.7,7
0.109,1,3.15,0.85,10.4,7
0.088,1.001,3.17,0.68,9.8,6
0.099,0.9973,3.19,0.7,9.4,5
0.086,0.9982,3.37,0.91,9.9,6
0.072,0.9992,3.05,0.56,10,5
0.071,0.9988,2.99,0.87,10.2,5
0.083,1.0022,3.07,0.73,10,7
0.107,0.9979,3.26,0.93,11.8,6
0.083,1.0022,3.07,0.73,10,7
0.076,1,3.16,0.69,9,5
0.159,0.9998,3.18,0.64,9.4,5
0.074,0.9962,3.2,1.13,12,7
0.063,0.9975,3.57,0.78,9.9,5
0.056,0.9967,3.32,0.87,8.7,6
0.067,0.9967,3.32,1.04,10.6,6
0.106,0.9959,3.05,0.63,9.2,5
0.089,1.0014,3.01,0.81,10.8,6
0.124,0.9984,3.01,0.83,11.8,7
0.078,1.0003,3.26,1.11,11,6
0.074,0.9962,3.2,1.13,12,7
0.088,0.9988,3.11,0.99,13.3,6
0.094,0.9979,3.31,0.7,10.8,6
0.08,0.9974,3.21,0.8,9.4,6
0.085,1.0014,3.06,0.8,10,6
0.08,0.9974,3.21,0.8,9.4,6
0.08,0.9974,3.21,0.8,9.4,6
0.087,0.998,3.42,0.74,9.2,5
0.09,0.9979,3.43,0.76,9.7,6
0.088,0.9981,3.41,0.74,9.2,6
0.079,0.9972,3.31,0.54,9.6,6
0.088,0.9981,3.43,0.74,9.2,6
0.096,0.9982,3.19,0.7,10,7
0.045,0.9924,3.56,0.82,12.9,8
0.085,1.0014,3.06,0.8,10,6
0.082,0.998,3.18,0.51,9.5,5
0.112,0.997,3.16,0.54,9.1,5
0.063,0.9997,3.03,0.57,9.9,5
0.066,1.0004,3.22,0.6,13,7
0.122,0.9994,3.47,0.53,9.9,5
0.087,0.9988,3.18,0.65,11,6
0.087,0.9988,3.18,0.65,11,6
0.064,0.9963,3.1,0.55,9.4,5
0.122,0.9994,3.47,0.53,9.9,5
0.059,0.9949,3.29,0.47,10.8,6
0.085,1,3.1,0.61,10.5,6
0.085,0.9994,3.15,0.63,10.5,6
0.075,0.9974,3.26,0.61,9.1,5
0.059,0.9966,3.36,0.76,10.1,6
0.063,0.9981,3.24,0.65,10.8,6
0.093,0.9996,3.18,0.63,10.8,7
0.174,0.997,3.19,0.7,11.3,6
0.07,0.9981,3.05,0.57,9.6,4
0.08,0.9987,3.38,0.62,9.5,6
0.08,0.9987,3.38,0.62,9.5,5
0.1,0.9966,3.27,0.64,9.3,5
0.097,0.9986,3.27,0.82,11.7,7
0.087,0.9982,3.26,0.61,9.5,5
0.117,1.0014,3.32,1.07,9.3,5
0.111,0.997,3.26,0.66,11.7,6
0.091,0.9956,3.44,0.48,10.5,5
0.121,0.9996,3.24,0.76,10.4,6
0.066,0.9976,3.62,0.68,9.9,5
0.089,0.9972,3.28,0.73,11.8,7
0.059,0.9952,3.52,0.56,12.3,7
0.047,0.9955,3.36,0.44,10.9,5
0.066,0.9978,3.15,0.9,11,7
0.047,0.9955,3.36,0.44,10.9,5
0.059,0.9952,3.52,0.56,12.3,7
0.045,0.9949,3.49,0.49,11.4,6
0.077,0.9988,3.26,0.56,10.6,6
0.07,0.9978,3.24,0.6,9.3,5
0.088,0.9997,3.1,0.6,10.4,6
0.066,0.9978,3.15,0.9,11,7
0.074,0.9974,3.25,0.56,9.2,5
0.078,0.9958,3,0.65,12.8,6
0.091,1.0004,3.16,0.49,9.5,5
0.076,0.9996,3.15,0.89,9.9,6
0.091,1.0004,3.16,0.49,9.5,5
0.06,0.9958,3.26,0.56,10.2,6
0.066,0.9986,3.17,0.66,11.2,6
0.076,0.9996,3.15,0.89,9.9,6
0.062,0.9951,3.08,0.6,9.3,5
0.072,0.9987,2.88,0.82,9.8,8
0.068,0.9988,3.06,0.68,11.3,6
0.1,1.0032,2.95,0.68,11.2,7
0.077,0.9963,3.23,0.63,11.6,7
0.054,0.9934,3.57,0.84,12.5,7
0.079,0.9986,3.23,0.56,10.1,6
0.081,0.9996,3.1,0.73,10.5,5
0.127,0.9968,3.22,0.72,11.2,5
0.1,0.9967,3.2,0.56,10.2,6
0.095,0.9994,3.1,0.61,10.8,6
0.095,0.9994,3.1,0.61,10.8,6
0.413,0.9979,3.06,1.06,9.1,6
0.084,0.9968,3.44,0.63,10,6
0.084,0.9998,3.26,0.74,11.2,7
0.063,0.9952,3.5,0.63,11.1,5
0.086,0.9988,3.22,0.69,13.4,8
0.095,0.9986,3.37,0.58,10.3,5
0.097,0.9988,3.28,0.58,9.6,5
0.084,0.9998,3.26,0.74,11.2,7
0.074,1.0008,3.25,0.57,9,3
0.083,0.9976,3.35,0.61,11.3,6
0.087,0.9982,3.26,0.61,9.3,5
0.085,0.997,3.18,0.61,11.8,5
0.098,0.9972,3.08,0.53,9,5
0.084,0.9987,2.98,0.7,9.2,6
0.098,1.0006,3.48,0.91,9.7,5
0.069,0.9982,3.16,0.72,11.5,6
0.065,0.9947,3.32,0.79,14,6
0.09,1,3.17,0.62,9.2,6
0.07,0.9952,3.2,0.58,9.8,5
0.093,0.9996,3.05,0.61,10.6,5
0.081,0.997,3.2,0.71,11.4,6
0.083,0.9995,3.15,0.82,10.4,6
0.062,0.9971,3.26,0.79,10.6,5
0.08,0.9982,3.2,0.89,9.4,6
0.087,0.9988,3.14,0.6,10.2,5
0.091,0.998,3.28,0.7,9.7,5
0.075,0.9977,3.18,1.06,11,6
0.087,0.9988,3.14,0.6,10.2,5
0.077,0.9984,3.19,0.7,10.1,6
0.069,1.0026,3.12,0.66,9.2,5
0.08,0.9964,3.15,0.92,11.7,8
0.152,0.9986,3.04,1.05,9.4,5
0.152,0.9986,3.04,1.06,9.4,5
0.114,0.997,3.06,0.66,13.4,6
0.054,0.9976,3.17,0.47,10,5
0.054,0.9976,3.17,0.47,10,5
0.053,0.9982,3.17,0.42,10,6
0.081,1.0002,3.32,0.92,10.8,7
0.073,0.9984,3.34,0.75,10.2,6
0.078,0.9984,3.31,0.67,10.6,6
0.055,0.9952,3.34,0.79,13.3,7
0.052,0.995,3.32,0.9,13.4,7
0.086,1.0002,3.48,0.74,11.6,6
0.051,0.9952,3.44,0.55,12.1,6
0.07,0.9972,3.15,0.65,11,8
0.081,0.9984,3.43,0.65,9,6
0.09,0.9966,3.32,0.79,11.1,5
0.07,0.9972,3.15,0.65,11,8
0.086,1.0002,3.48,0.74,11.6,6
0.081,0.9984,3.43,0.65,9,6
0.074,0.999,3.17,0.85,12,7
0.074,0.999,3.17,0.85,12,7
0.078,0.9976,3.18,1.04,10.9,7
0.077,0.9976,3.21,1.05,10.8,7
0.072,0.9968,3.16,0.78,12.5,7
0.075,0.9976,3.25,1.02,10.8,7
0.084,1,3.17,0.71,9.5,6
0.09,0.9994,3.18,0.63,10.2,6
0.084,0.9986,3.04,0.68,11.4,7
0.073,0.9978,3.02,0.61,9.5,5
0.09,0.9994,3.18,0.63,10.2,6
0.125,0.998,3.03,0.81,9.7,6
0.107,0.9973,3.09,0.66,11.8,7
0.107,0.9973,3.09,0.66,11.8,7
0.122,1.001,3.31,1.14,9.3,5
0.1,1.001,3.25,0.74,11.9,6
0.2,0.9994,3.16,0.63,8.4,3
0.088,0.9972,3.22,0.68,11.7,6
0.088,0.9966,3.36,0.78,11,5
0.088,0.9982,3.42,0.9,10,6
0.088,0.998,3.48,0.64,9.1,5
0.099,0.9979,3.38,0.99,9.8,5
0.085,0.9978,3.22,0.55,9.4,5
0.086,0.9976,3.23,0.64,9.5,5
0.105,0.9998,3.24,0.67,9.9,5
0.088,0.9966,3.36,0.78,11,5
0.097,0.9962,3.39,0.77,11.4,6
0.084,0.9988,3.34,0.75,8.7,6
0.077,0.9974,3.09,0.57,9.4,5
0.078,0.999,3.41,0.87,10.3,6
0.098,1.0004,3.16,0.61,10.3,5
0.098,1.0004,3.16,0.61,10.3,5
0.072,0.9956,3.22,0.66,12.8,6
0.102,1,3.28,0.56,10,6
0.078,0.999,3.41,0.87,10.3,6
0.077,0.9974,3.09,0.57,9.4,5
0.084,0.9972,3.37,0.77,10.7,6
0.066,1.0014,3.2,0.66,12,7
0.1,0.9996,3.22,0.62,11.2,5
0.101,0.9988,3.26,0.67,9.6,5
0.064,0.9988,3.21,0.73,11,6
0.07,0.9966,3.12,0.59,9.9,5
0.085,0.9993,3.06,0.72,11,6
0.075,1.0008,2.86,0.79,8.4,6
0.094,0.9982,3.08,0.59,9.1,5
0.078,0.9983,3.45,0.78,9.5,6
0.067,0.9987,3.26,0.86,10.7,6
0.079,0.9994,3.12,0.75,10.4,6
0.171,0.9975,3.27,0.61,9.4,6
0.074,0.9958,3.33,0.56,9.5,6
0.092,0.998,3.19,0.73,10,6
0.092,0.998,3.12,0.74,10,6
0.05,0.9934,3.74,0.62,11.5,5
0.095,1.00315,2.92,0.74,11.1,5
0.095,1.00315,2.92,0.74,11.1,5
0.118,1.0002,3.07,0.56,11.7,6
0.095,1.00315,2.92,0.74,11.1,5
0.118,1.0002,3.07,0.56,11.7,6
0.085,1.0021,3.3,0.68,12.7,6
0.075,0.9994,3.14,0.57,11.4,5
0.078,0.9978,3.23,0.58,9.2,5
0.094,0.9982,3.08,0.61,9.2,5
0.092,0.9971,3.31,0.61,10.1,6
0.085,1.0021,3.3,0.68,12.7,6
0.075,0.9994,3.14,0.57,11.4,5
0.226,0.9991,3.32,0.6,9,6
0.226,0.9991,3.32,0.6,9,6
0.25,0.999,3.31,0.79,10.7,6
0.095,0.9946,3.57,0.57,11.7,6
0.07,1.0003,3.32,0.91,11,6
0.095,0.9946,3.57,0.57,11.7,6
0.075,0.9978,3.14,0.61,10.4,5
0.07,0.9991,3.3,0.56,9.6,4
0.078,0.9992,3.19,0.7,10,6
0.079,0.9993,3.2,0.8,10.2,6
0.103,0.9978,3.34,0.52,10,4
0.083,0.9982,3.3,0.6,9.5,5
0.085,0.9982,3.29,0.6,9.8,5
0.063,0.9976,3.14,0.51,9.8,6
0.089,1.0002,3.19,0.44,9.6,5
0.089,1.0002,3.19,0.44,9.6,5
0.083,1,3.19,0.43,9.2,5
0.074,0.9976,2.98,0.66,9.9,7
0.093,1.0002,3.3,0.76,10.7,7
0.091,0.998,3.47,0.66,9.6,6
0.094,0.9986,3.12,1.02,10.6,7
0.108,0.9967,3.26,0.59,9.3,5
0.06,0.9917,3.72,0.74,14,8
0.059,0.9976,3.05,0.74,10.5,7
0.084,0.9987,3.35,0.57,9.7,5
0.07,0.9922,3.12,0.5,11.5,6
0.084,0.9987,3.35,0.57,9.7,5
0.094,1.0004,3.29,0.58,9,5
0.096,0.9978,3.4,0.53,9.5,5
0.086,0.9998,3.27,0.57,9.3,5
0.059,0.9994,3.04,0.6,9.3,6
0.071,0.998,3.09,0.63,10,6
0.078,0.9967,3.2,0.48,9.8,6
0.082,1,3,0.7,9.3,6
0.088,0.9962,3.26,0.47,10,4
0.071,1.0006,3.1,0.56,9,6
0.081,0.9975,3.3,0.52,9.3,5
0.071,1.0006,3.1,0.56,9,6
0.096,0.9984,3.17,0.62,9.1,6
0.085,0.9984,3.31,0.59,9.2,6
0.072,0.9973,3.34,0.79,12.2,7
0.092,0.9982,3.31,0.53,10.5,6
0.11,1.0026,3.32,0.64,10.4,6
0.075,0.9956,3.56,0.52,12.7,6
0.083,0.9983,3.39,0.54,9.2,5
0.081,1.0006,2.98,0.54,9.4,5
0.077,0.9965,3.32,0.6,10,6
0.058,0.9962,3.26,0.74,9.8,5
0.148,0.9969,2.87,1.36,10.2,6
0.079,0.9997,3.5,0.57,9.7,5
0.079,0.9997,3.5,0.57,9.7,5
0.079,0.9982,3.03,0.93,9.8,6
